ItemCode,ItemName,LastPurDat,ItmsGrpCod,ItmsGrpNam,Categoria_CI,Subcategoria_CI,Bodega,Stock_Bodega,Precio_B2B_Estandar,Precio_B2B_VIP,Precio_B2C,Precio_Promociones_Ecommerce,Ventas_2024,Ventas_2025,Ventas_2026,Ventas_Total_29_5_Meses,Alcance_Inventario_Meses,Alcance_Inventario_Meses_Redondeado
5SL61107CC,"Automato magnetotermico 230/400 V 6 kA, 1 polo, C, 10 A",2025-07-29,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,AUTOMATOS,11,4.0,6.7,6.3,7.4,0.0,22.0,2.0,12.0,36.0,3.2777777777777777,3
3RT20371AK60,"contactor de potencia, AC-3e/AC-3, 65 A, 30 kW/400 V, tripolar, 110 V AC, 50 Hz/120 V, 60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamano: S2",2025-07-25,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,CONTACTORES,11,3.0,241.6,228.1,268.4,0.0,9.0,3.0,1.0,13.0,6.807692307692308,7
3RT20381AL20,"contactor de potencia, AC-3e/AC-3, 80 A, 37 kW/400 V, tripolar, 230 V AC, 50/60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamano: S2",2025-07-25,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,CONTACTORES,11,3.0,268.2,253.3,298.0,0.0,23.0,4.0,3.0,30.0,2.95,3
3RV20110JA10,"Interruptor automatico tamano S00 para proteccion de motores, CLASE 10 Disparador por sobrecarga con retardo segun intensidad 0,7...1 A Disparador de cortocircuito 13 A borne de tornillo poder",2025-07-25,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,GUARDAMOTORES,11,2.0,63.0,59.5,70.0,0.0,7.0,5.0,1.0,13.0,4.538461538461538,5
3RV20114AA10,"Interruptor automatico tamano S00 para proteccion de motores, CLASE 10 Disparador por sobrecarga con retardo segun intensidad 10...16 A Disparador de cortocircuito 208 A borne de tornillo poder",2025-07-25,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,GUARDAMOTORES,11,6.0,81.2,76.7,90.2,0.0,29.0,19.0,3.0,51.0,3.4705882352941178,3
3RV20214BA10,"Interruptor automatico tamano S0 para proteccion de motores, CLASE 10 Disparador por sobrecarga con retardo segun intensidad 13...20 A Disparador de cortocircuito 260 A borne de tornillo poder",2025-07-25,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,GUARDAMOTORES,11,6.0,84.3,79.6,93.6,0.0,12.0,6.0,2.0,20.0,8.85,9
3RV20214CA10,"Interruptor automatico tamano S0 para proteccion de motores, CLASE 10 Disparador por sobrecarga con retardo segun intensidad 16...22 A Disparador de cortocircuito 286 A borne de tornillo poder",2025-07-25,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,GUARDAMOTORES,11,2.0,93.0,87.9,103.4,0.0,1.0,11.0,1.0,13.0,4.538461538461538,5
3RV20214FA10,"Interruptor automatico tamano S0 para proteccion de motores, CLASE 10 Disparador por sobrecarga con retardo segun intensidad 34...40 A disparador de cortocircuito 480 A borne de tornillo poder",2025-07-25,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,GUARDAMOTORES,11,3.0,163.2,154.1,181.3,189.0,3.0,7.0,0.0,10.0,8.85,9
3RH29111HA11,"bloque de contactos auxiliares, por el frente, 1 NA + 1 NC, .1/.2, .3/.4, --/--, --/--, circuito: 1 NC, 1 NA, --, --, borne de tornillo, para contactores 3RT2 y contactores auxiliares 3RH2",2025-07-22,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,CONTACTORES,11,1.0,9.6,9.1,10.7,0.0,0.0,1.0,0.0,1.0,29.5,30
MX:3TA1QR300,"Interruptor QR, terminales Al-Cu, 1 hilo, 300 MCM Kit de 3",2025-07-22,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,INTERRUPTORES INDUSTRIALES,11,9.0,10.8,10.2,12.0,0.0,6.0,3.0,2.0,11.0,24.136363636363637,24
